,Date,Mérydes,Type de Bonus,Bonus,Offrandes,Quantité Offrandes,Kamas
,2 novembre 2024,Nikodeus,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans les zones du Port des Ravageurs et de Pandamonium.,Groin de Porkzebuth,2,21990
,3 novembre 2024,Miloune,Bonus : Économie d'ingrédients,Les Tailleurs ont 15 % de chances d'économiser des ingrédients lorsqu'ils fabriquent des objets.,Cape Abilité,1,769
,4 novembre 2024,Kacinka,Bonus : Avis de recherche,La vitesse d'apparition des monstres d'Avis de recherche est augmentée de 200 %. .,Fibre criminelle,1,2836
,5 novembre 2024,Mathrû,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de la Brasserie du roi Dazak.,Dent de Vatenbière,2,21990
,6 novembre 2024,Hito,Bonus : Bois abondant,Les quantités de Bois de Châtaignier récupérées par les Bûcherons sont augmentées de 125 %.,Bois de Châtaignier,40,197
,7 novembre 2024,Pouki,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les Animaux de la forêt.,Pic de Prespic,6,593
,8 novembre 2024,Poup,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Serviteurs de l'Indicible.,Patte de Li-Fo,2,21990
,9 novembre 2024,Tilapiatsu,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les Pirates naufragés et les Pirates de l'Arche d'Otomaï.,Foulard du Sparo,6,2594
,10 novembre 2024,Otoul,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos orchidée ainsi que de volkornes rubis donnent naissance à un bébé supplémentaire.",Goujon,40,197
,11 novembre 2024,Namsporp,Bonus : Bénédiction de Miss Triste,Miss Triste attend les aventuriers qui veulent se refaire une laideur près de la fontaine du village d'Amakna. Sa bénédiction transforme temporairement en Crocodaille (effet qui disparaît quand un combat est lancé) et en Souffre-Douleur (bonus de 50 Puissance et 10 dommages fixes durant 15 combats).,Écaille de Crocodaille,6,1517
,12 novembre 2024,Jacoula,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Trithons.,Lanterne de Tourthon,2,21990
,13 novembre 2024,Dek,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon du Laboratoire de Brumen Tinctorias.,Graine de Scorbute,6,2836
,14 novembre 2024,Flouky,Bonus : Forgemagie améliorée,Les Joaillomages ont 15 % de chances de ne pas consumer de rune lorsqu'ils tentent d'améliorer un objet.,Rune Vi,4,769
,15 novembre 2024,Reniator,Bonus : Quête répétable,"Une quête répétable spéciale est disponible aujourd'hui près de la vieille chapelle d'Astrub. Réalisable à partir du niveau 20, elle est indépendante de la quête d'offrande.",Leurnettes,1,769
,16 novembre 2024,Mustasly,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les Rats Strubiens et les Rats Maknéens.,Peau de Ramane d'Égoutant,6,2111
,17 novembre 2024,Messikriss,Bonus : Gibier abondant,Les quantités de Viande séchée récupérées par les Chasseurs sont augmentées de 125%.,Viande Séchée,5,7146
,18 novembre 2024,Annbonny,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans les zones des Canaux Méphitiques et des Entrailles de Brâkmar.,Patte de la Gardienne des Égouts,1,13545
,19 novembre 2024,Waro,Bonus : Économie d'ingrédients,Les Bûcherons économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Substrat de Bocage,1,3562
,20 novembre 2024,Julo,Bonus : Anomalies temporelles,"Les gains d'expérience des montures sont augmentés de 100 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans les zones (hors donjons) des Cavaliers de l'Eliocalypse.",Sang coagulé,2,21990
,21 novembre 2024,Mûnir,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Vermines des champs.,Ailes de Moskito,6,395
,22 novembre 2024,Jeffarctor,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Kanigs des Dents de Pierre.,Griffe de Félygiène,3,13391
,23 novembre 2024,Angy,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Brûlâmes.,Fragment d'Ectorche,2,21990
,24 novembre 2024,Fafah,Bonus : Récolte abondante,Les quantités d'Avoine récupérées par les Paysans sont augmentées de 125 %.,Avoine,50,593
,25 novembre 2024,Lateralus,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone des Champs de glace.,Laine de Boufmouth légendaire,5,8136
,26 novembre 2024,Uicuic,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les Vilinsekts.,Antennes de Vilinsekt,9,989
,27 novembre 2024,Tinyrus,Bonus : Bois abondant,Les quantités de Bois d'If récupérées par les Bûcherons sont augmentées de 125 %.,Bois d'If,40,6289
,28 novembre 2024,Vanderivz,Bonus : Double butin,Les aventuriers ont 20 % de chances de générer un second butin sur tous les monstres affrontés dans les donjons.,Poils de Barbe de Dragodinde,1,2836
,29 novembre 2024,Eltux,Bonus : Minerai abondant,Les quantités de Kobalte récupérées par les mineurs sont augmentées de 125 %.,Kobalte,30,1187
,30 novembre 2024,Inooni,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 125 % sur les créatures de type Givrefoux.,Laine de Yokaï Givrefoux,3,16140
,1 décembre 2024,Ezimuos,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Goules.,Œil de Gouligane,2,21990
,2 décembre 2024,Tiris,Bonus : Expérience des métiers,"Les gains d'expérience sont augmentés de 50 % pour les Bricoleurs, les Forgerons, les Sculpteurs et les Façonneurs.",Bouclier du tournesol sauvage,1,769
,3 décembre 2024,Edacsak,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans la zone du Lac Gelé.,Peau de Mansobèse,4,8642
,4 décembre 2024,Eltruteht,Bonus : Bois abondant,Les quantités de Bois récupérées par les Bûcherons de tous niveaux sont augmentées de 100 %.,Bois d'Oliviolet,40,2462
,5 décembre 2024,Ologar,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 75 % dans la zone de la Carrière d'Astrub.,Casque de Sherpoa,6,593
,6 décembre 2024,Adam,Bonus : Kolizétons,La quantité de jetons gagnée en Kolizéum est augmentée de 100 %.,Charbon,6,2594
,7 décembre 2024,Kountar,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les Koalaks et les Koalaks sauvages.,Étoffe de Dok Alako,6,3474
,8 décembre 2024,Moko,Bonus : Cueillette abondante,Les quantités de Perce-Neige récupérées par les Alchimistes sont augmentées de 200 %.,Perce-Neige,10,10995
,9 décembre 2024,Ingmar,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 100 % dans le donjon du Garde-manger du Rat Blanc.,Poil de Rat Bontarien,2,6662
,10 décembre 2024,Foya,Bonus : Élevage de montures,"Toutes les variétés de dragodindes, volkornes et muldos émeraude donnent naissance à un bébé supplémentaire.",Queue de Dragodinde,1,2462
,11 décembre 2024,Bovjouski,Bonus : Économie d'ingrédients,Les Cordonniers économisent 15 % de leurs ingrédients lorsqu'ils fabriquent des objets.,Pacmabottes,2,769
,12 décembre 2024,Mig,Bonus : Quête répétable,"Une quête répétable spéciale est disponible aujourd'hui près des portes de Brâkmar. Réalisable à partir du niveau 20, elle est indépendante de la quête d'offrande.",Potion de cité : Brâkmar,3,5981
,13 décembre 2024,Sêpt,Bonus : Apparition des ressources,La vitesse d'apparition des minerais de tous types est augmentée de 100 %.,Dolomite,30,8993
,14 décembre 2024,Jason,Bonus : Challenges augmentés,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans le donjon de la Chambre de Tal Kasha.,Paupière Dorée de Rykaon,1,21990
,15 décembre 2024,Eboren,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 75 % dans la zone de la plaine des Porkass.,Cuir de Porkass,6,1517
,16 décembre 2024,Lucyvan,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres de Nowel.,Emballage de Nowel Écarlate,2,1737
,17 décembre 2024,Ryf,Bonus : Pêche abondante,Les quantités d'Anguille et de Dorade Grise récupérées par les Pêcheurs sont augmentées de 125 %.,Anguille,40,2990
,18 décembre 2024,Sebsokk,Bonus : Challenges des donjons,Les bonus apportés par les challenges réussis sont augmentés de 150 % dans tous les donjons.,Chance d'Ecaflip,1,769
,19 décembre 2024,Reivax,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les monstres de Nowel.,Flocon de Neige,2,1737
,20 décembre 2024,Benjak,Bonus : Fabrication intensive,"Pour chaque objet fabriqué, les Mineurs ont 10 % de chances de créer un second objet.",Ebonite,1,1187
,21 décembre 2024,Grüg,Bonus : Challenge supplémentaire,Un challenge supplémentaire est généré contre les monstres présents dans les zones du Cimetière d'Amakna et des Cryptes du Cimetière.,Canine Vampiresque,6,989
,22 décembre 2024,Maxarès,Bonus : Apparition des ressources,La vitesse d'apparition des ressources est augmentée de 150 % dans la zone du Port de Madrestam.,Poisson Pané,40,879
,23 décembre 2024,Math,Bonus : Gibier abondant,Les quantités de Viande Tendre récupérées par les Chasseurs sont augmentées de 125%.,Viande Tendre,6,1737
,24 décembre 2024,Milivar,Bonus : Coffres aux trésors,Des Coffres de Milivar peuvent être gagnés à la fin des chasses aux trésors.,Médaille en Chocolat,1,1737
,25 décembre 2024,Simsof,Bonus : Cadeaux surprises,"Des Cadeaux de Nowel ont été ajoutés aux butins des monstres. Lorsqu'ils sont utilisés, ils permettent d'obtenir des ressources ou d'autres objets aléatoires.",Joli cadeau de Nowel,4,5981
,26 décembre 2024,Fhenris,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 100 % dans le donjon de l'Excavation du Mansot Royal.,Poil de barbe du Shamansot,4,9873
,27 décembre 2024,Korri,Bonus : Points d'expérience,Les gains d'expérience sont augmentés de 50 % sur les créatures de type Marteaux-Aigris.,Fronde de Boufronde,2,19153
,28 décembre 2024,Ediva,Bonus : Percepteurs avides,Le butin généré par les Percepteurs est augmenté de 200 % dans les donjons de niveau 160 à 190.,Kaokurimono,3,15436
,29 décembre 2024,Cocoyuyu,Bonus : Récolte abondante,Les quantités de Seigle et de Riz récupérées par les Paysans sont augmentées de 125 %.,Riz,40,2990
,30 décembre 2024,Dari,Bonus : Butin,Les chances d'obtenir du butin sont augmentées de 50 % sur les créatures de type Automates des Brigandins.,Bidule inutile,1,1561
,31 décembre 2024,Aisk,Bonus : Anomalies temporelles,"Les bonus apportés par les challenges réussis sont augmentés de 75 % dans toutes les zones influencées par une anomalie temporelle. De plus, les gains d'expérience et les chances d'obtenir du butin sont augmentés de 25 % dans la zone de la Forêt des Masques.",Viande Ladre,6,2396
